% function evaluation | noise-free fitness - Fopt (6.870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
3061 +4.857958446e-06 +4.857958446e-06 +1.000485796e-02 +1.000485796e-02 -1.3477e+00 -8.9942e-01 +4.8582e+00
3190 +4.450045013e-06 +4.450045013e-06 +1.000445005e-02 +1.000445005e-02 -1.3477e+00 -8.9942e-01 +4.8582e+00
3198 +4.237288136e-06 +4.237288136e-06 +1.000423729e-02 +1.000423729e-02 -1.3477e+00 -8.9942e-01 +4.8582e+00
3200 +3.404649747e-06 +3.404649747e-06 +1.000340465e-02 +1.000340465e-02 -1.3477e+00 -8.9942e-01 +4.8582e+00
3211 +3.351650579e-06 +3.351650579e-06 +1.000335165e-02 +1.000335165e-02 -1.3477e+00 -8.9942e-01 +4.8582e+00
3214 +1.963298178e-06 +1.963298178e-06 +1.000196330e-02 +1.000196330e-02 -1.3477e+00 -8.9942e-01 +4.8582e+00
3267 +1.889379154e-06 +1.889379154e-06 +1.000188938e-02 +1.000188938e-02 -1.3477e+00 -8.9942e-01 +4.8582e+00
3322 +1.702518728e-06 +1.702518728e-06 +1.000170252e-02 +1.000170252e-02 -1.3477e+00 -8.9942e-01 +4.8582e+00
3324 +1.308554950e-06 +1.308554950e-06 +1.000130855e-02 +1.000130855e-02 -1.3477e+00 -8.9942e-01 +4.8582e+00
3352 +1.177267533e-06 +1.177267533e-06 +1.000117727e-02 +1.000117727e-02 -1.3477e+00 -8.9942e-01 +4.8582e+00
3353 +6.702032023e-07 +6.702032023e-07 +1.000067020e-02 +1.000067020e-02 -1.3477e+00 -8.9942e-01 +4.8582e+00
3358 +4.186733471e-07 +4.186733471e-07 +1.000041867e-02 +1.000041867e-02 -1.3477e+00 -8.9942e-01 +4.8582e+00
3426 +3.946267449e-07 +3.946267449e-07 +1.000039463e-02 +1.000039463e-02 -1.3477e+00 -8.9942e-01 +4.8582e+00
3438 +3.530539789e-07 +3.530539789e-07 +1.000035305e-02 +1.000035305e-02 -1.3477e+00 -8.9942e-01 +4.8582e+00
3481 +2.178667025e-07 +2.178667025e-07 +1.000021787e-02 +1.000021787e-02 -1.3477e+00 -8.9942e-01 +4.8582e+00
3483 +1.924020501e-07 +1.924020501e-07 +1.000019240e-02 +1.000019240e-02 -1.3477e+00 -8.9942e-01 +4.8582e+00
3491 +1.432021020e-07 +1.432021020e-07 +1.000014320e-02 +1.000014320e-02 -1.3477e+00 -8.9942e-01 +4.8582e+00
3518 +7.753099594e-08 +7.753099594e-08 +1.000007753e-02 +1.000007753e-02 -1.3477e+00 -8.9942e-01 +4.8582e+00
3531 +7.286543837e-08 +7.286543837e-08 +1.000007287e-02 +1.000007287e-02 -1.3477e+00 -8.9942e-01 +4.8582e+00
3547 +3.620667840e-08 +3.620667840e-08 +1.000003621e-02 +1.000003621e-02 -1.3477e+00 -8.9942e-01 +4.8582e+00
3564 +2.909709683e-08 +2.909709683e-08 +1.000002910e-02 +1.000002910e-02 -1.3477e+00 -8.9942e-01 +4.8582e+00
3577 +2.278588108e-08 +2.278588108e-08 +1.000002279e-02 +1.000002279e-02 -1.3477e+00 -8.9942e-01 +4.8582e+00
3659 +1.907865051e-08 +1.907865051e-08 +1.000001908e-02 +1.000001908e-02 -1.3477e+00 -8.9942e-01 +4.8582e+00
3662 +1.685559643e-08 +1.685559643e-08 +1.000001686e-02 +1.000001686e-02 -1.3477e+00 -8.9942e-01 +4.8582e+00
3674 +1.438647522e-08 +1.438647522e-08 +1.000001439e-02 +1.000001439e-02 -1.3477e+00 -8.9942e-01 +4.8582e+00
3689 +1.328931335e-08 +1.328931335e-08 +1.000001329e-02 +1.000001329e-02 -1.3477e+00 -8.9942e-01 +4.8582e+00
3692 +1.166047086e-08 +1.166047086e-08 +1.000001166e-02 +1.000001166e-02 -1.3477e+00 -8.9942e-01 +4.8582e+00
3699 +1.009584909e-08 +1.009584909e-08 +1.000001010e-02 +1.000001010e-02 -1.3477e+00 -8.9942e-01 +4.8582e+00
3703 +5.242445984e-09 +5.242445984e-09 +1.000000524e-02 +1.000000524e-02 -1.3477e+00 -8.9942e-01 +4.8582e+00
