% function evaluation | noise-free fitness - Fopt (4.078000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.694655269e+01 +6.694655269e+01 +1.077265527e+02 +1.077265527e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
5 +6.605486704e+01 +6.605486704e+01 +1.068348670e+02 +1.068348670e+02 +1.9839e-01 -2.1364e-01 +4.0534e-01 +1.1119e-02 -1.5959e-01 +2.5142e-01 +4.4627e-02 +8.5070e-02 +1.9790e-01 +3.2096e-01
10 +5.841257431e+01 +5.841257431e+01 +9.919257431e+01 +9.919257431e+01 -3.8715e-01 -2.8321e-01 +6.3104e-01 +2.6759e-01 -3.0099e-01 +2.3454e-01 -1.3015e-01 +1.5621e-01 +1.1801e-01 -6.6711e-02
27 +5.639439732e+01 +5.639439732e+01 +9.717439732e+01 +9.717439732e+01 -5.2531e-01 +1.8375e-02 +6.6517e-01 +2.1133e-01 -3.9296e-01 -1.3045e-01 -1.3811e-01 +2.7827e-01 -7.5424e-02 +6.9846e-02
37 +5.045769366e+01 +5.045769366e+01 +9.123769366e+01 +9.123769366e+01 -6.7773e-01 +5.8592e-01 +5.0172e-01 +3.9797e-01 -5.6671e-01 -1.8979e-01 -8.7354e-02 +5.5641e-01 +3.2055e-01 +1.9950e-01
42 +4.520365010e+01 +4.520365010e+01 +8.598365010e+01 +8.598365010e+01 -4.0556e-01 +3.6316e-01 +1.2617e+00 +5.3894e-01 -8.4643e-01 -1.4564e-01 -3.5319e-01 +5.9653e-01 +2.1647e-01 +1.0004e-01
85 +4.365178669e+01 +4.365178669e+01 +8.443178669e+01 +8.443178669e+01 -1.0850e+00 +5.1398e-01 +1.3067e+00 +7.9946e-02 -7.9851e-01 -6.8158e-01 +1.3763e-02 +3.1816e-01 -1.3232e-01 +2.2281e-01
86 +4.216390838e+01 +4.216390838e+01 +8.294390838e+01 +8.294390838e+01 -7.2891e-01 +2.6082e-01 +1.4527e+00 +3.5610e-01 -6.9488e-01 -3.2142e-01 -1.8256e-01 -1.6647e-01 +2.8898e-02 -7.5770e-02
90 +4.128115539e+01 +4.128115539e+01 +8.206115539e+01 +8.206115539e+01 -1.1294e+00 +2.6773e-01 +1.3636e+00 +2.2965e-01 -8.5634e-01 -3.7216e-01 -3.1516e-02 +1.0316e-01 -4.9371e-02 -1.2192e-01
96 +4.015715282e+01 +4.015715282e+01 +8.093715282e+01 +8.093715282e+01 -6.7717e-01 +5.5976e-01 +1.3804e+00 +3.6899e-01 -1.2043e+00 -6.2309e-01 -4.6443e-02 +2.7421e-01 -2.6614e-01 +1.6112e-01
100 +3.915370823e+01 +3.915370823e+01 +7.993370823e+01 +7.993370823e+01 -1.1098e+00 +4.8009e-01 +1.7266e+00 +4.9809e-01 -8.0407e-01 -5.6434e-01 -1.5023e-01 +4.4517e-01 -1.9829e-01 -2.8552e-01
103 +3.514473837e+01 +3.514473837e+01 +7.592473837e+01 +7.592473837e+01 -6.5849e-01 +5.6208e-01 +1.6152e+00 +3.8974e-01 -1.0185e+00 -5.2827e-01 +1.8190e-01 -1.6621e-01 -1.2132e-01 -1.6980e-01
107 +3.118041842e+01 +3.118041842e+01 +7.196041842e+01 +7.196041842e+01 -8.1643e-01 +7.2442e-01 +1.5175e+00 +7.4905e-01 -9.6209e-01 -5.1070e-01 -6.6257e-02 -2.9902e-02 +1.6610e-01 -2.7197e-01
114 +3.068387735e+01 +3.068387735e+01 +7.146387735e+01 +7.146387735e+01 -1.1424e+00 +8.8170e-01 +2.0575e+00 +7.4399e-01 -1.0374e+00 -7.2704e-01 -1.9843e-01 -1.8543e-01 -7.6985e-02 -4.7157e-01
126 +3.011773511e+01 +3.011773511e+01 +7.089773511e+01 +7.089773511e+01 -1.2686e+00 +8.6102e-01 +1.5321e+00 +8.5724e-01 -9.1603e-01 -8.9017e-01 -4.5947e-02 -2.9956e-01 +4.1400e-03 -2.1325e-01
131 +2.863691958e+01 +2.863691958e+01 +6.941691958e+01 +6.941691958e+01 -8.8064e-01 +8.2800e-01 +1.6862e+00 +7.1011e-01 -1.0708e+00 -1.1303e+00 +1.3410e-01 -7.2351e-01 +8.9479e-02 -2.4727e-01
132 +2.608335254e+01 +2.608335254e+01 +6.686335254e+01 +6.686335254e+01 -9.2499e-01 +1.0546e+00 +2.1642e+00 +1.2144e+00 -9.3526e-01 -8.2159e-01 +3.6182e-01 -5.1790e-01 +1.6861e-01 -4.8103e-01
148 +2.471109314e+01 +2.471109314e+01 +6.549109314e+01 +6.549109314e+01 -5.5871e-01 +9.4557e-01 +2.3768e+00 +1.0523e+00 -1.2598e+00 -1.1368e+00 +7.4303e-01 -1.1387e+00 +3.0594e-01 -2.7969e-01
174 +2.352290393e+01 +2.352290393e+01 +6.430290393e+01 +6.430290393e+01 -8.1338e-01 +1.4640e+00 +1.7577e+00 +6.7086e-01 -1.6309e+00 -6.6161e-01 +3.9125e-01 -1.1753e+00 +3.3985e-01 -5.6536e-01
210 +2.192815948e+01 +2.192815948e+01 +6.270815948e+01 +6.270815948e+01 -5.1649e-01 +1.4907e+00 +2.2017e+00 +6.8881e-01 -1.5471e+00 -1.1311e+00 +9.6868e-01 -1.3525e+00 +3.2815e-01 -4.6357e-01
218 +2.136042802e+01 +2.136042802e+01 +6.214042802e+01 +6.214042802e+01 -7.5830e-01 +1.6391e+00 +2.1189e+00 +1.0992e+00 -1.6110e+00 -1.5045e+00 +6.5660e-01 -1.6399e+00 +2.8458e-01 -5.8643e-01
229 +2.016997612e+01 +2.016997612e+01 +6.094997612e+01 +6.094997612e+01 -2.6334e-01 +1.6121e+00 +2.2978e+00 +1.2627e+00 -2.1580e+00 -1.4288e+00 +8.2367e-01 -1.3176e+00 +1.0761e-01 -4.5435e-01
343 +1.971233180e+01 +1.971233180e+01 +6.049233180e+01 +6.049233180e+01 -5.8761e-01 +1.8989e+00 +2.7179e+00 +8.8053e-01 -2.3878e+00 -1.9737e+00 +7.7982e-01 -1.6760e+00 +5.5303e-01 -2.4413e-01
367 +1.944567021e+01 +1.944567021e+01 +6.022567021e+01 +6.022567021e+01 -6.6957e-01 +1.9402e+00 +2.3840e+00 +8.4578e-01 -2.2786e+00 -1.6745e+00 +4.5567e-01 -1.6402e+00 +5.5123e-01 -6.2391e-01
407 +1.835157737e+01 +1.835157737e+01 +5.913157737e+01 +5.913157737e+01 -2.5269e-01 +2.0613e+00 +2.4265e+00 +8.3333e-01 -2.4236e+00 -1.9077e+00 +9.5820e-01 -1.7989e+00 +5.5499e-01 -5.0813e-01
411 +1.787916845e+01 +1.787916845e+01 +5.865916845e+01 +5.865916845e+01 -1.9698e-02 +2.1754e+00 +2.2239e+00 +9.2251e-01 -2.4522e+00 -1.6507e+00 +9.2117e-01 -1.8615e+00 +8.0133e-01 -5.6462e-01
419 +1.765449800e+01 +1.765449800e+01 +5.843449800e+01 +5.843449800e+01 -1.3646e-01 +2.2080e+00 +2.2946e+00 +7.2279e-01 -2.4292e+00 -1.3523e+00 +1.1604e+00 -1.6801e+00 +7.1539e-01 -5.8651e-01
441 +1.731419089e+01 +1.731419089e+01 +5.809419089e+01 +5.809419089e+01 +4.1852e-01 +2.0245e+00 +2.0827e+00 +1.2656e+00 -3.0129e+00 -1.0276e+00 +1.3352e+00 -1.9017e+00 +9.7631e-01 -7.4365e-01
465 +1.694724723e+01 +1.694724723e+01 +5.772724723e+01 +5.772724723e+01 +4.1188e-01 +2.1246e+00 +2.2855e+00 +9.3737e-01 -2.6523e+00 -1.3632e+00 +1.5742e+00 -1.9538e+00 +8.1963e-01 -5.3277e-01
470 +1.630845836e+01 +1.630845836e+01 +5.708845836e+01 +5.708845836e+01 +5.6958e-01 +2.4237e+00 +2.2186e+00 +1.0035e+00 -2.9289e+00 -1.3540e+00 +1.4776e+00 -2.0402e+00 +9.3489e-01 -7.5144e-01
586 +1.614444501e+01 +1.614444501e+01 +5.692444501e+01 +5.692444501e+01 +5.1161e-01 +2.4918e+00 +2.1275e+00 +8.6085e-01 -2.9982e+00 -1.2522e+00 +1.6587e+00 -2.0057e+00 +9.5225e-01 -6.4477e-01
726 +1.584720348e+01 +1.584720348e+01 +5.662720348e+01 +5.662720348e+01 +7.9661e-01 +2.5935e+00 +2.1202e+00 +1.0817e+00 -3.0100e+00 -1.0800e+00 +2.0124e+00 -2.0524e+00 +9.3191e-01 -7.1405e-01
% function evaluation | noise-free fitness - Fopt (-1.600000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
