% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.960016909e+06 +4.960016909e+06 +4.959961969e+06 +4.959961969e+06 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
3 +4.705066709e+06 +4.705066709e+06 +4.705011769e+06 +4.705011769e+06 -2.9346e-01 -1.0383e-01 +5.5724e-04 -1.3268e-01 -1.5690e-01 +3.9659e-02 -2.6695e-01 -2.3699e-01 -1.6094e-02 +1.6778e-01 +2.6502e-01 -2.4242e-03 +1.9983e-01 -6.0414e-02 -1.5803e-01 +7.3670e-02 -2.2298e-02 -1.1498e-01 +1.2245e-01 -1.7711e-01
7 +4.453252758e+06 +4.453252758e+06 +4.453197818e+06 +4.453197818e+06 -1.2785e-02 -1.7685e-03 +4.9352e-02 -2.7075e-02 +3.1283e-01 -4.2817e-02 +1.7431e-01 +1.0897e-01 -1.8117e-01 +9.7275e-02 -4.0239e-01 +3.6047e-02 +1.0151e-01 -2.5969e-01 -1.3699e-01 +2.6352e-01 +3.9670e-02 +1.2001e-01 -4.9998e-02 +2.7002e-01
8 +3.696676466e+06 +3.696676466e+06 +3.696621526e+06 +3.696621526e+06 -1.0583e-01 -3.3713e-01 +1.6063e-02 -1.4386e-01 +2.1633e-01 -1.7745e-02 +6.4971e-02 +2.6545e-01 -8.0169e-02 +1.4163e-01 -7.6667e-02 +2.4098e-01 -1.9412e-01 +2.4975e-02 +8.5365e-02 -1.3288e-01 +1.8867e-01 +8.6123e-02 +3.7393e-02 -4.1626e-01
16 +3.319466939e+06 +3.319466939e+06 +3.319411999e+06 +3.319411999e+06 -2.6864e-01 -4.7334e-01 +3.9578e-03 -1.3568e-02 +3.8774e-01 +6.1616e-03 +2.8146e-02 +3.3624e-01 +9.7855e-02 +2.4068e-01 -2.6996e-01 +2.8013e-01 +2.0566e-01 +1.3110e-02 +1.0507e-01 -9.2794e-02 +3.4925e-01 +1.5577e-01 -6.7534e-02 -9.5315e-02
21 +2.902846526e+06 +2.902846526e+06 +2.902791586e+06 +2.902791586e+06 -2.6676e-01 -3.3109e-01 -1.7084e-01 -2.4277e-02 +3.2089e-01 +2.2961e-01 +3.7592e-01 +2.0920e-01 -2.7943e-01 +5.4971e-01 -1.4164e-01 +2.3342e-01 +3.3381e-01 +2.4834e-02 +4.4845e-02 -1.3605e-01 +3.3833e-01 +2.5260e-01 +2.8524e-01 -7.5221e-02
24 +2.762521805e+06 +2.762521805e+06 +2.762466865e+06 +2.762466865e+06 -3.9577e-01 -6.3886e-01 +1.8509e-01 -3.1766e-01 +7.9131e-01 -1.1674e-01 +1.7853e-01 +1.8834e-01 -2.1964e-01 +1.1603e-02 -3.5460e-01 +4.0498e-01 +1.7581e-01 -3.9266e-02 -2.0686e-01 -1.7790e-01 +3.7863e-01 +4.2761e-01 +9.5248e-02 +2.1326e-01
26 +2.091418772e+06 +2.091418772e+06 +2.091363832e+06 +2.091363832e+06 -2.8378e-01 -7.7266e-01 -8.0594e-02 -2.2783e-01 +5.6952e-01 +2.5750e-01 +2.3378e-01 -8.5866e-02 -4.3077e-01 +5.2892e-01 -2.2730e-01 +1.2899e-01 +2.6713e-01 +7.0389e-02 -2.4862e-01 +6.1337e-02 +2.1300e-01 +4.9340e-01 +6.2907e-02 -2.4189e-01
42 +1.960103320e+06 +1.960103320e+06 +1.960048380e+06 +1.960048380e+06 -4.3329e-01 -8.2472e-01 -1.1457e-02 -4.7523e-01 +2.0454e-01 +6.6944e-02 +4.4672e-01 +5.9907e-01 -5.8116e-01 +5.7427e-01 -3.2946e-01 -7.3414e-02 -1.5978e-01 -1.8175e-01 -1.5332e-01 +1.7666e-01 +3.8464e-01 +5.7651e-01 +3.0129e-02 -2.7120e-01
49 +1.861982433e+06 +1.861982433e+06 +1.861927493e+06 +1.861927493e+06 -1.6176e-01 -6.8136e-01 -1.1480e-01 -6.3682e-02 +1.2954e+00 +2.8901e-01 +4.0863e-01 +2.5127e-01 -9.8663e-01 +5.0157e-01 -8.9511e-02 +3.5652e-01 +4.0189e-02 -1.4149e-01 +1.3644e-01 +1.8034e-01 +3.3573e-01 +4.6148e-01 -1.0848e-01 -2.5221e-01
51 +1.677737295e+06 +1.677737295e+06 +1.677682355e+06 +1.677682355e+06 -2.9580e-01 -1.0516e+00 -2.9269e-01 -2.8266e-01 +1.0451e+00 +4.9088e-01 +6.1838e-01 +5.5948e-01 -6.3705e-01 +1.2006e+00 -3.2957e-01 +3.0290e-01 +2.6310e-03 +6.2392e-02 +3.3908e-03 +2.0480e-01 +4.7703e-01 +2.6661e-01 -1.1246e-01 -1.8989e-02
58 +1.653999813e+06 +1.653999813e+06 +1.653944873e+06 +1.653944873e+06 -3.5401e-01 -6.5093e-01 -2.9479e-01 -1.6762e-01 +7.8593e-01 +4.9630e-01 +2.5346e-01 +2.3752e-01 -7.8258e-01 +8.2009e-01 -3.0788e-01 +2.4697e-01 -2.5402e-01 -3.2581e-01 +3.8129e-02 +2.7650e-01 +6.8647e-01 +5.9443e-01 -4.3556e-01 +1.8407e-01
64 +1.434435834e+06 +1.434435834e+06 +1.434380894e+06 +1.434380894e+06 -4.8326e-01 -9.6962e-01 -3.9736e-01 -1.3951e-01 +1.0555e+00 +5.6129e-01 +6.9540e-01 +4.3826e-01 -8.9145e-01 +6.5694e-01 -3.8492e-01 +8.3206e-02 +3.9762e-02 -2.9958e-01 +3.4198e-01 +2.5487e-01 +4.4009e-01 +9.2546e-01 +6.4673e-02 -3.3229e-01
66 +1.262969061e+06 +1.262969061e+06 +1.262914121e+06 +1.262914121e+06 -3.1568e-01 -7.2613e-01 -5.4758e-03 -5.5133e-01 +1.7306e+00 +6.6164e-01 +7.7319e-01 +3.4167e-01 -1.6463e+00 +9.7738e-01 -6.8601e-02 +2.8980e-01 -2.0131e-02 -1.8990e-01 -2.0078e-01 +2.9836e-01 +6.8886e-01 +1.2702e+00 -2.7418e-02 -2.9670e-01
