% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.143844717e+02 +1.143844717e+02 +1.502844717e+02 +1.502844717e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00
4 +3.723732255e+01 +3.723732255e+01 +7.313732255e+01 +7.313732255e+01 -1.1595e-01 +1.0234e-01 -2.9074e-01
6 +3.709243318e+01 +3.709243318e+01 +7.299243318e+01 +7.299243318e+01 +2.2223e-02 -9.4141e-02 -2.1567e-01
11 +3.580437785e+01 +3.580437785e+01 +7.170437785e+01 +7.170437785e+01 -5.9286e-02 +1.5330e-01 -2.5684e-01
12 +3.177130949e+01 +3.177130949e+01 +6.767130949e+01 +6.767130949e+01 +1.4246e-01 -5.4292e-02 -2.2877e-02
20 +2.463044204e+01 +2.463044204e+01 +6.053044204e+01 +6.053044204e+01 +2.1681e-01 +3.6327e-01 +1.5288e-01
28 +2.351647044e+01 +2.351647044e+01 +5.941647044e+01 +5.941647044e+01 +4.1247e-01 +4.9478e-01 +2.4873e-01
33 +2.250353686e+01 +2.250353686e+01 +5.840353686e+01 +5.840353686e+01 +3.3540e-01 +1.0055e+00 +2.4559e-01
41 +1.877168463e+01 +1.877168463e+01 +5.467168463e+01 +5.467168463e+01 +7.4827e-01 +1.2536e+00 +3.3241e-01
55 +1.316052648e+01 +1.316052648e+01 +4.906052648e+01 +4.906052648e+01 +2.1185e+00 +1.1700e+00 +7.8766e-01
61 +1.211748858e+01 +1.211748858e+01 +4.801748858e+01 +4.801748858e+01 +1.9703e+00 +6.5306e-01 +1.0556e+00
71 +3.238090094e+00 +3.238090094e+00 +3.913809009e+01 +3.913809009e+01 +2.6684e+00 +1.1426e+00 +1.8557e+00
118 +2.722914132e+00 +2.722914132e+00 +3.862291413e+01 +3.862291413e+01 +3.4867e+00 +9.2830e-01 +2.3924e+00
143 +2.216511554e+00 +2.216511554e+00 +3.811651155e+01 +3.811651155e+01 +2.8169e+00 +9.1370e-01 +2.0894e+00
145 +1.790852461e+00 +1.790852461e+00 +3.769085246e+01 +3.769085246e+01 +2.8515e+00 +5.9368e-01 +2.2247e+00
150 +1.374148501e+00 +1.374148501e+00 +3.727414850e+01 +3.727414850e+01 +2.9584e+00 +4.9867e-01 +2.3840e+00
157 +1.113541599e+00 +1.113541599e+00 +3.701354160e+01 +3.701354160e+01 +3.1885e+00 +1.0153e+00 +2.4691e+00
160 +3.002867402e-01 +3.002867402e-01 +3.620028674e+01 +3.620028674e+01 +2.8526e+00 +8.2701e-01 +2.5125e+00
193 +4.310397970e-02 +4.310397970e-02 +3.594310398e+01 +3.594310398e+01 +2.8524e+00 +9.9346e-01 +2.5925e+00
