% function evaluation | noise-free fitness - Fopt (9.294000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.445170813e+03 +1.445170813e+03 +1.538110813e+03 +1.538110813e+03
3 +1.369800537e+03 +1.369800537e+03 +1.462740537e+03 +1.462740537e+03
5 +1.243950993e+03 +1.243950993e+03 +1.336890993e+03 +1.336890993e+03
15 +1.220554445e+03 +1.220554445e+03 +1.313494445e+03 +1.313494445e+03
28 +1.182404170e+03 +1.182404170e+03 +1.275344170e+03 +1.275344170e+03
30 +1.173321839e+03 +1.173321839e+03 +1.266261839e+03 +1.266261839e+03
43 +1.038155799e+03 +1.038155799e+03 +1.131095799e+03 +1.131095799e+03
59 +1.007682705e+03 +1.007682705e+03 +1.100622705e+03 +1.100622705e+03
60 +9.256276473e+02 +9.256276473e+02 +1.018567647e+03 +1.018567647e+03
61 +8.991671820e+02 +8.991671820e+02 +9.921071820e+02 +9.921071820e+02
75 +8.866144332e+02 +8.866144332e+02 +9.795544332e+02 +9.795544332e+02
89 +8.496643600e+02 +8.496643600e+02 +9.426043600e+02 +9.426043600e+02
92 +8.094157673e+02 +8.094157673e+02 +9.023557673e+02 +9.023557673e+02
102 +7.923456661e+02 +7.923456661e+02 +8.852856661e+02 +8.852856661e+02
107 +7.118705781e+02 +7.118705781e+02 +8.048105781e+02 +8.048105781e+02
120 +6.867078771e+02 +6.867078771e+02 +7.796478771e+02 +7.796478771e+02
122 +6.635922312e+02 +6.635922312e+02 +7.565322312e+02 +7.565322312e+02
138 +6.372937906e+02 +6.372937906e+02 +7.302337906e+02 +7.302337906e+02
153 +6.193545503e+02 +6.193545503e+02 +7.122945503e+02 +7.122945503e+02
155 +5.171716791e+02 +5.171716791e+02 +6.101116791e+02 +6.101116791e+02
169 +4.387880804e+02 +4.387880804e+02 +5.317280804e+02 +5.317280804e+02
179 +4.214610960e+02 +4.214610960e+02 +5.144010960e+02 +5.144010960e+02
187 +4.041086877e+02 +4.041086877e+02 +4.970486877e+02 +4.970486877e+02
188 +3.826624633e+02 +3.826624633e+02 +4.756024633e+02 +4.756024633e+02
200 +3.678082036e+02 +3.678082036e+02 +4.607482036e+02 +4.607482036e+02
202 +3.517154985e+02 +3.517154985e+02 +4.446554985e+02 +4.446554985e+02
212 +3.284525474e+02 +3.284525474e+02 +4.213925474e+02 +4.213925474e+02
213 +3.229031105e+02 +3.229031105e+02 +4.158431105e+02 +4.158431105e+02
217 +2.952587463e+02 +2.952587463e+02 +3.881987463e+02 +3.881987463e+02
