% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
122 +5.151101787e+02 +5.151101787e+02 +5.114001787e+02 +5.114001787e+02 +1.0012e+00 +4.7067e-01 +2.5482e-01 -2.8568e-01 -8.2438e-02 +3.0496e-02 -1.8315e-02 -3.6431e-02 -2.9355e-01 +4.9301e-01 +3.9686e-01 +1.0785e-01 +1.3759e+00 +3.0829e-02 -1.7563e-01 -1.0524e+00 +2.6508e-02 +7.0303e-01 +4.0495e-01 -1.4006e+00
131 +5.065064371e+02 +5.065064371e+02 +5.027964371e+02 +5.027964371e+02 +9.0496e-01 +7.5219e-01 +3.7939e-01 -4.9225e-01 +2.5711e-02 +3.1202e-03 +2.9921e-01 +6.7669e-02 -6.4330e-01 +2.4978e-01 +6.0725e-01 +5.8816e-01 +1.7878e+00 +8.1195e-02 +1.1975e-01 -1.2833e+00 +4.5325e-01 +5.7317e-01 +5.7480e-01 -1.4898e+00
142 +4.544548249e+02 +4.544548249e+02 +4.507448249e+02 +4.507448249e+02 +1.5276e+00 +8.9611e-01 +2.3049e-01 -3.9758e-01 -4.2347e-02 -1.1337e-01 +4.5465e-01 +1.4869e-01 -8.2605e-01 +6.4545e-01 +7.1147e-01 +5.5287e-01 +1.7221e+00 -3.5258e-01 +8.8593e-03 -1.4267e+00 +2.8465e-01 +7.7161e-01 +4.3324e-01 -2.2262e+00
152 +4.350559064e+02 +4.350559064e+02 +4.313459064e+02 +4.313459064e+02 +1.4029e+00 +7.6182e-01 +7.3554e-01 -2.3126e-01 +4.2468e-01 -9.8761e-02 +9.4339e-02 +1.9545e-02 -5.8552e-01 +8.2819e-01 +1.1056e+00 +5.2270e-01 +1.5570e+00 -4.1538e-01 +3.6241e-01 -1.5728e+00 +6.3615e-01 +9.5819e-01 +8.5778e-01 -1.6591e+00
156 +4.101047615e+02 +4.101047615e+02 +4.063947615e+02 +4.063947615e+02 +1.5218e+00 +5.9310e-01 +8.1504e-01 -7.5744e-02 +9.6294e-02 +1.1376e-01 +2.7855e-01 -3.2652e-01 -5.1648e-01 +1.7653e-01 +9.2252e-01 +4.6433e-01 +1.3754e+00 -4.6362e-01 +5.1578e-01 -1.4044e+00 +4.5844e-01 +1.1778e+00 +6.7176e-01 -1.6062e+00
163 +3.951369686e+02 +3.951369686e+02 +3.914269686e+02 +3.914269686e+02 +1.3247e+00 +8.3311e-01 +1.0045e+00 -5.6482e-01 +1.9172e-02 +8.0763e-02 +6.0415e-01 -3.6585e-01 -8.4598e-01 +5.9785e-01 +7.8132e-01 +5.5520e-01 +1.8086e+00 -3.4346e-01 +4.2737e-01 -1.6629e+00 +6.4508e-01 +7.4212e-01 +1.2974e+00 -2.1036e+00
261 +3.821180465e+02 +3.821180465e+02 +3.784080465e+02 +3.784080465e+02 +1.2706e+00 +6.1659e-01 -3.5320e-01 -1.4816e+00 +3.6307e-01 -1.0079e-01 -1.2211e+00 -1.2168e+00 -1.4009e-01 +1.5738e-01 +2.5173e-01 -4.5932e-01 +2.2784e+00 -5.6320e-01 +1.7974e-02 -1.8328e+00 +1.1848e+00 +1.6286e+00 +1.0915e+00 -2.5174e+00
282 +3.691244479e+02 +3.691244479e+02 +3.654144479e+02 +3.654144479e+02 +1.2746e+00 +3.9863e-01 -9.9407e-01 -1.5387e+00 +1.2922e-01 -5.9132e-03 -8.7978e-01 -1.4420e+00 +2.5662e-01 +2.2092e-01 +4.5333e-01 -3.3482e-01 +2.2583e+00 -4.1013e-01 -5.9763e-02 -1.6657e+00 +1.4886e+00 +1.4436e+00 +1.0769e+00 -2.4847e+00
291 +3.231469930e+02 +3.231469930e+02 +3.194369930e+02 +3.194369930e+02 +1.8038e+00 +3.7782e-01 -8.7803e-01 -1.0453e+00 +4.5104e-01 +2.1008e-02 -1.1048e+00 -1.1336e+00 -4.9562e-01 -1.3641e-01 +8.6922e-01 +4.6392e-01 +2.2088e+00 +3.5663e-02 -1.0300e-01 -1.7388e+00 +1.5304e+00 +1.5620e+00 +1.6429e+00 -2.6153e+00
334 +3.127322498e+02 +3.127322498e+02 +3.090222498e+02 +3.090222498e+02 +2.2334e+00 +2.4314e-01 -8.4830e-01 -1.3074e+00 +8.0541e-01 +8.6838e-01 +2.4897e-01 -1.1505e+00 -4.8673e-01 +4.0274e-01 +1.1202e+00 +4.7765e-01 +2.2960e+00 -5.0753e-01 -1.8729e-01 -2.2636e+00 +1.7138e+00 +1.8585e+00 +2.2492e+00 -3.1981e+00
338 +2.839403601e+02 +2.839403601e+02 +2.802303601e+02 +2.802303601e+02 +2.4548e+00 +3.6357e-01 -9.8431e-01 -6.7255e-01 +7.8735e-01 +6.9235e-01 +1.4683e-01 -1.1611e+00 -3.1141e-01 -3.6739e-03 +1.1196e+00 +8.3767e-01 +3.0023e+00 -4.4610e-01 +5.9427e-02 -2.1661e+00 +1.7900e+00 +1.5318e+00 +2.0153e+00 -2.6111e+00
655 +2.803917763e+02 +2.803917763e+02 +2.766817763e+02 +2.766817763e+02 +1.3520e+00 +3.9599e-01 -8.4314e-01 -1.3519e+00 +5.9024e-01 +6.5181e-01 -1.8158e+00 -1.8674e+00 -1.3939e-01 +1.1219e-01 +4.6440e-01 +1.4959e+00 +3.2795e+00 -7.3418e-01 -9.1385e-01 -1.6388e+00 +7.1690e-01 +1.4942e+00 +4.1174e+00 -3.4743e+00
686 +2.732286232e+02 +2.732286232e+02 +2.695186232e+02 +2.695186232e+02 +1.1994e+00 +3.3013e-01 -9.7880e-01 -1.2756e+00 +6.4469e-01 +8.3180e-01 -1.7946e+00 -2.0176e+00 -5.1014e-01 +1.2285e-01 +4.0058e-01 +1.5178e+00 +3.5033e+00 -8.4646e-01 -1.0275e+00 -1.3840e+00 +6.9508e-01 +1.7030e+00 +4.1536e+00 -3.6074e+00
784 +2.649467119e+02 +2.649467119e+02 +2.612367119e+02 +2.612367119e+02 +1.1211e+00 +4.3019e-01 -8.9343e-01 -1.1414e+00 +7.5837e-01 +6.0200e-01 -1.8992e+00 -1.9998e+00 -5.3722e-01 +4.6464e-02 +4.8690e-01 +1.1264e+00 +3.1218e+00 -1.1346e+00 -9.4800e-01 -1.8199e+00 +2.7573e-01 +1.5268e+00 +3.7950e+00 -3.2483e+00
810 +2.502776255e+02 +2.502776255e+02 +2.465676255e+02 +2.465676255e+02 +1.0041e+00 +2.3805e-01 -9.2153e-01 -1.2734e+00 +8.5679e-01 +6.6270e-01 -1.7322e+00 -2.0491e+00 -5.2190e-01 +1.3775e-01 +4.4505e-01 +1.1573e+00 +3.1762e+00 -1.2781e+00 -9.8172e-01 -1.8652e+00 +1.7389e-01 +1.5672e+00 +3.9740e+00 -3.4239e+00
822 +2.395102505e+02 +2.395102505e+02 +2.358002505e+02 +2.358002505e+02 +1.1862e+00 +2.3125e-01 -1.0604e+00 -1.2366e+00 +8.1292e-01 +6.9555e-01 -1.6226e+00 -2.0737e+00 -5.1046e-01 +2.0569e-02 +4.1716e-01 +1.0686e+00 +3.1376e+00 -1.3350e+00 -1.0644e+00 -1.8297e+00 +1.9439e-01 +1.5891e+00 +3.9362e+00 -3.2163e+00
934 +2.247793688e+02 +2.247793688e+02 +2.210693688e+02 +2.210693688e+02 +1.0271e+00 +1.8542e-01 -9.4372e-01 -1.2090e+00 +9.5884e-01 +6.6309e-01 -1.8985e+00 -2.0323e+00 -4.7574e-01 +7.1506e-02 +4.3467e-01 +1.1124e+00 +3.1212e+00 -1.2087e+00 -1.0204e+00 -1.8559e+00 +3.6579e-01 +1.4767e+00 +3.8776e+00 -3.2118e+00
956 +2.215761760e+02 +2.215761760e+02 +2.178661760e+02 +2.178661760e+02 +1.1349e+00 +1.8472e-01 -9.5152e-01 -1.1891e+00 +9.6518e-01 +7.0221e-01 -1.9037e+00 -2.0065e+00 -4.7730e-01 +6.8715e-02 +4.0093e-01 +1.0589e+00 +3.1147e+00 -1.2142e+00 -1.0397e+00 -1.7896e+00 +4.1233e-01 +1.4933e+00 +3.8205e+00 -3.1885e+00
978 +2.159822980e+02 +2.159822980e+02 +2.122722980e+02 +2.122722980e+02 +1.0910e+00 +2.0058e-01 -9.1232e-01 -1.2303e+00 +1.0116e+00 +6.5372e-01 -1.9327e+00 -1.9921e+00 -5.3082e-01 +7.1489e-02 +4.3030e-01 +1.0217e+00 +3.1023e+00 -1.2481e+00 -1.0639e+00 -1.7878e+00 +3.9259e-01 +1.5439e+00 +3.8667e+00 -3.1618e+00
1002 +2.100232546e+02 +2.100232546e+02 +2.063132546e+02 +2.063132546e+02 +1.0864e+00 +2.1648e-01 -8.9775e-01 -1.1502e+00 +9.4561e-01 +6.3822e-01 -1.9734e+00 -1.9730e+00 -5.3379e-01 +5.7612e-02 +4.3884e-01 +1.0064e+00 +3.1659e+00 -1.2432e+00 -1.0572e+00 -1.7982e+00 +3.7991e-01 +1.5213e+00 +3.8818e+00 -3.2181e+00
1014 +2.082309280e+02 +2.082309280e+02 +2.045209280e+02 +2.045209280e+02 +1.0425e+00 +1.8147e-01 -8.7619e-01 -1.2213e+00 +9.0683e-01 +6.7638e-01 -1.9422e+00 -1.9887e+00 -4.7309e-01 +4.3309e-02 +4.5969e-01 +1.0126e+00 +3.1538e+00 -1.2464e+00 -1.1289e+00 -1.7625e+00 +3.8199e-01 +1.5334e+00 +3.9110e+00 -3.2052e+00
1029 +2.017450532e+02 +2.017450532e+02 +1.980350532e+02 +1.980350532e+02 +1.0566e+00 +2.0828e-01 -9.1981e-01 -1.2259e+00 +9.2000e-01 +6.5586e-01 -1.9372e+00 -1.9770e+00 -5.0081e-01 +4.7251e-02 +4.6428e-01 +9.9880e-01 +3.1922e+00 -1.2525e+00 -1.1005e+00 -1.7573e+00 +4.1800e-01 +1.5323e+00 +3.9515e+00 -3.2226e+00
1076 +1.976353046e+02 +1.976353046e+02 +1.939253046e+02 +1.939253046e+02 +1.0256e+00 +2.3050e-01 -9.2775e-01 -1.2336e+00 +8.8196e-01 +6.9442e-01 -1.9174e+00 -2.0000e+00 -5.1438e-01 +7.8125e-02 +4.7681e-01 +1.0842e+00 +3.1482e+00 -1.2493e+00 -1.1093e+00 -1.6912e+00 +4.2534e-01 +1.5401e+00 +3.9719e+00 -3.2425e+00
1123 +1.932683787e+02 +1.932683787e+02 +1.895583787e+02 +1.895583787e+02 +1.0748e+00 +2.3564e-01 -9.2125e-01 -1.2391e+00 +8.2033e-01 +6.8015e-01 -1.8929e+00 -2.0325e+00 -5.2272e-01 +7.5149e-02 +4.4470e-01 +1.0402e+00 +3.1046e+00 -1.2451e+00 -1.0702e+00 -1.7049e+00 +4.2347e-01 +1.5428e+00 +3.9824e+00 -3.1870e+00
1179 +1.897963575e+02 +1.897963575e+02 +1.860863575e+02 +1.860863575e+02 +1.0982e+00 +2.0632e-01 -9.5006e-01 -1.2055e+00 +8.1562e-01 +6.7410e-01 -1.9352e+00 -1.9964e+00 -4.9494e-01 +5.2588e-02 +4.2558e-01 +1.0338e+00 +3.1382e+00 -1.2501e+00 -1.0632e+00 -1.6973e+00 +4.2509e-01 +1.5440e+00 +3.9602e+00 -3.2031e+00
1391 +1.861802333e+02 +1.861802333e+02 +1.824702333e+02 +1.824702333e+02 +1.1126e+00 +2.4892e-01 -9.3980e-01 -1.2241e+00 +7.9801e-01 +6.6804e-01 -1.8999e+00 -2.0012e+00 -5.0550e-01 +5.3720e-02 +4.4143e-01 +1.0594e+00 +3.1227e+00 -1.2403e+00 -1.0610e+00 -1.6788e+00 +4.2476e-01 +1.5361e+00 +3.9405e+00 -3.2252e+00
% function evaluation | noise-free fitness - Fopt (1.321800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.427879767e+02 +7.427879767e+02 +8.749679767e+02 +8.749679767e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +6.752364483e+02 +6.752364483e+02 +8.074164483e+02 +8.074164483e+02 -3.3954e-02 -4.7836e-02 +3.1776e-01 +1.3693e-01 -1.0089e-01 +1.6372e-01 -1.6383e-01 +4.8944e-02 +3.4665e-01 -1.9272e-01 +1.2719e-01 +3.7230e-02 +1.7309e-01 +4.1119e-02 +8.8922e-02 +2.2339e-02 +8.3451e-02 +1.5168e-01 +6.3920e-02 +2.9946e-01
9 +5.869988174e+02 +5.869988174e+02 +7.191788174e+02 +7.191788174e+02 +1.2439e-01 -1.8274e-01 +3.3738e-01 +3.0840e-01 -3.2313e-01 -2.4883e-01 +2.1827e-01 -3.8866e-01 +2.2878e-01 +1.0346e-01 +2.4725e-01 +4.3427e-02 -4.8526e-01 +2.6351e-01 -1.3916e-01 +1.7097e-01 -1.4410e-01 -6.9892e-02 -1.7304e-01 -4.1979e-02
18 +5.573225605e+02 +5.573225605e+02 +6.895025605e+02 +6.895025605e+02 +2.5736e-01 -2.7583e-01 +4.4433e-01 +4.2511e-01 -4.1927e-01 -7.3915e-02 +3.3189e-02 -1.9855e-01 +3.0134e-01 -1.2148e-01 -3.1082e-01 +1.7998e-01 -5.6312e-01 +4.0745e-03 -6.4546e-01 -1.2983e-01 -1.1804e-02 +3.0208e-01 -2.6125e-01 -3.1501e-01
39 +5.445021595e+02 +5.445021595e+02 +6.766821595e+02 +6.766821595e+02 -9.2029e-02 -3.6930e-01 -1.3991e-02 +9.7736e-02 -4.6195e-01 +1.7817e-01 +1.8262e-01 -7.1371e-01 +3.9559e-01 -1.1685e-01 +1.5181e-01 -2.7746e-01 -2.8650e-01 +4.6912e-01 -5.5798e-01 +1.3550e-01 -4.6323e-01 +2.0835e-01 -5.8633e-01 +5.6851e-02
50 +5.185778551e+02 +5.185778551e+02 +6.507578551e+02 +6.507578551e+02 -9.4803e-01 -2.4898e-01 +2.9296e-02 -6.5566e-02 -2.3927e-02 -2.3626e-01 +7.5082e-01 -1.1458e+00 +2.9487e-01 +2.6770e-01 +2.1205e-01 -2.0339e-01 -5.3569e-01 +5.5972e-01 -8.8528e-01 +2.7875e-01 -2.4139e-02 +8.5388e-02 -8.0501e-01 +2.3920e-01
81 +4.974621163e+02 +4.974621163e+02 +6.296421163e+02 +6.296421163e+02 -8.0176e-01 +9.5114e-02 -4.1319e-01 +3.6441e-01 +3.2416e-01 -1.3461e-01 +2.5568e-01 -1.2464e+00 +2.0359e-01 -3.4636e-01 +4.2529e-01 -1.4376e-01 -6.1185e-01 +3.6108e-01 -1.1671e+00 +7.0774e-01 -1.7236e-01 +1.0790e+00 -5.0291e-01 +4.8897e-02
84 +4.828662078e+02 +4.828662078e+02 +6.150462078e+02 +6.150462078e+02 -7.0489e-01 +8.6665e-02 -2.8972e-01 +4.2849e-01 +4.6475e-01 -5.9725e-02 +1.7760e-01 -6.1296e-01 +1.5201e-01 -3.8666e-01 +4.6900e-01 -2.8017e-01 -5.4710e-01 +3.9094e-01 -1.0159e+00 +7.0943e-01 -2.8499e-01 +9.1299e-01 -5.5994e-01 +2.4345e-01
90 +4.650277989e+02 +4.650277989e+02 +5.972077989e+02 +5.972077989e+02 -1.2413e+00 +4.7436e-01 +1.5953e-01 +9.6616e-01 +7.6931e-02 +8.3387e-02 +2.1934e-01 -1.0189e+00 +2.7486e-01 -3.0260e-01 +2.2482e-01 -1.1469e-01 -4.7619e-01 +4.4246e-02 -1.0980e+00 +7.4748e-01 +7.3497e-02 +1.1182e+00 -3.7290e-01 +4.4442e-01
92 +4.356506588e+02 +4.356506588e+02 +5.678306588e+02 +5.678306588e+02 -9.3764e-01 +2.5957e-01 +5.3766e-02 +2.1069e-01 +1.1691e-01 +3.4617e-01 +1.5260e-01 -9.6303e-01 +2.9967e-01 -6.2814e-01 +2.2558e-01 -1.5480e-01 -6.4800e-01 +4.4892e-02 -1.3956e+00 +1.3800e+00 -6.6200e-03 +1.3502e+00 -4.9231e-01 +3.6226e-01
100 +4.038051279e+02 +4.038051279e+02 +5.359851279e+02 +5.359851279e+02 -7.2970e-01 +5.4354e-01 -3.8488e-02 +4.6536e-01 +8.5082e-01 +2.9171e-01 +1.0862e-01 -8.6525e-01 +4.8709e-01 -1.7093e-01 +7.5555e-01 +4.2327e-01 -2.2492e-01 -5.3711e-02 -1.4943e+00 +1.3128e+00 -5.1639e-02 +1.6236e+00 -2.5353e-01 +3.9987e-01
123 +3.899152210e+02 +3.899152210e+02 +5.220952210e+02 +5.220952210e+02 -1.1556e+00 +1.1700e+00 -3.7829e-01 -1.0395e-01 +4.6933e-01 +3.6602e-01 +1.2850e-01 -1.3320e+00 +5.3644e-01 +2.5711e-01 +2.4522e-01 -1.0092e-01 -3.4479e-01 +5.5340e-01 -2.1049e+00 +1.1118e+00 +4.8724e-01 +2.4679e+00 -9.8910e-01 +8.6952e-01
131 +3.429184395e+02 +3.429184395e+02 +4.750984395e+02 +4.750984395e+02 -1.0800e+00 +9.0916e-01 -7.6667e-01 +2.4021e-01 +5.3613e-01 +2.9708e-01 -3.4695e-01 -1.7175e+00 +3.2181e-01 +5.0413e-01 +6.9566e-01 +1.0540e-01 -5.4525e-01 +4.8491e-01 -2.1966e+00 +1.3641e+00 +6.2197e-02 +2.4257e+00 -9.6308e-01 +1.6830e+00
162 +3.351249785e+02 +3.351249785e+02 +4.673049785e+02 +4.673049785e+02 -6.2687e-01 +1.0346e+00 -3.2175e-01 +2.9796e-01 +1.1065e+00 -3.3150e-01 -1.8494e-01 -7.0521e-01 +8.4229e-01 +1.0496e+00 +4.6839e-01 +4.0708e-01 -1.6837e+00 +5.8933e-01 -2.7321e+00 +1.2382e+00 +9.3258e-01 +2.2533e+00 -7.9346e-01 +1.2138e+00
184 +3.111840870e+02 +3.111840870e+02 +4.433640870e+02 +4.433640870e+02 -1.1736e+00 +1.0991e+00 +5.9400e-02 +4.6326e-01 +1.0056e+00 -2.0883e-01 -3.4253e-01 -4.3726e-01 +4.0333e-01 +1.2036e+00 -2.0263e-01 +4.2532e-01 -1.4222e+00 +4.0107e-01 -3.3896e+00 +1.1795e+00 +9.0336e-01 +2.7627e+00 -9.4233e-01 +9.2616e-01
236 +2.894515210e+02 +2.894515210e+02 +4.216315210e+02 +4.216315210e+02 -1.5655e+00 +2.5714e+00 -1.1139e+00 -1.9624e-01 +5.3756e-01 +1.0460e+00 +3.3870e-01 -1.7445e+00 +3.8957e-01 +3.6118e-01 -1.3626e+00 +1.2051e+00 -6.2680e-01 +1.0381e+00 -4.5269e+00 +1.7818e+00 +3.1567e-01 +3.0444e+00 -5.9677e-01 +7.6589e-01
241 +2.866385885e+02 +2.866385885e+02 +4.188185885e+02 +4.188185885e+02 -1.7681e+00 +1.5184e+00 -2.8536e-01 +2.6696e-01 +2.3229e-01 +5.7997e-01 +3.3272e-02 -2.1523e+00 +3.4702e-01 +4.8315e-01 -1.1653e+00 +1.3026e+00 -1.4691e+00 +4.4599e-01 -4.4603e+00 +1.7038e+00 +7.8316e-01 +2.7174e+00 -7.0155e-01 +8.4755e-01
269 +2.551791450e+02 +2.551791450e+02 +3.873591450e+02 +3.873591450e+02 -1.6160e+00 +2.4433e+00 -2.3388e-02 -9.0815e-02 -8.2612e-01 +1.4932e-01 -2.2448e-01 -1.7707e+00 +9.1674e-01 +3.9036e-01 -1.0477e+00 +4.3823e-01 -8.1144e-01 +9.2473e-01 -4.9859e+00 +2.7347e+00 +1.3571e+00 +2.6400e+00 -5.3753e-01 +1.2756e+00
298 +2.369659708e+02 +2.369659708e+02 +3.691459708e+02 +3.691459708e+02 -2.1231e+00 +2.4119e+00 +7.5734e-01 +3.2350e-01 -7.2988e-01 -3.7871e-01 -9.1396e-01 -2.3053e+00 +4.3059e-01 +4.9640e-02 -7.6924e-01 +1.4500e+00 -1.4032e+00 +1.4853e+00 -4.1284e+00 +1.8885e+00 +1.5361e+00 +2.6756e+00 -4.2321e-01 +1.6408e+00
342 +2.109595513e+02 +2.109595513e+02 +3.431395513e+02 +3.431395513e+02 -1.7012e+00 +4.0960e+00 +1.5353e+00 -5.9064e-02 -1.2068e+00 -1.0679e+00 -7.5766e-01 -1.7061e+00 +7.7157e-01 -7.3334e-01 -7.2842e-01 +2.4839e+00 -2.0733e+00 +2.3087e+00 -3.7918e+00 +1.9445e+00 +1.9125e+00 +2.8909e+00 -5.9839e-01 +1.7853e+00
382 +2.074948513e+02 +2.074948513e+02 +3.396748513e+02 +3.396748513e+02 -2.7052e+00 +3.9115e+00 +9.5011e-01 +1.9351e-01 -1.2362e+00 -1.1629e+00 -8.0350e-01 -1.9080e+00 +2.7460e-01 +4.4345e-01 +1.3301e-01 +2.6962e+00 -1.3484e+00 +2.6395e+00 -4.4135e+00 +3.0290e+00 +2.0854e+00 +2.3262e+00 -3.7994e-01 +1.8881e+00
502 +1.969033557e+02 +1.969033557e+02 +3.290833557e+02 +3.290833557e+02 -2.4827e+00 +2.5169e+00 +7.9124e-01 +4.2254e-01 -1.1072e+00 +6.3819e-01 -8.3138e-01 -1.7384e+00 +8.3824e-01 -7.8196e-02 +2.3891e-01 +2.5896e+00 -8.6232e-01 +2.4382e+00 -3.9274e+00 +2.5946e+00 +1.3704e+00 +2.9951e+00 -1.8253e-01 +1.7365e+00
732 +1.934523769e+02 +1.934523769e+02 +3.256323769e+02 +3.256323769e+02 -2.7167e+00 +3.1598e+00 +7.5699e-01 -2.4375e-01 -1.6456e+00 +6.1790e-01 -7.8327e-01 -2.6061e+00 -1.8851e-02 +9.7250e-01 +1.2440e-01 +2.9249e+00 -1.3845e+00 +2.8546e+00 -4.5337e+00 +2.1932e+00 +2.0539e+00 +3.2840e+00 -7.9432e-01 +2.5574e+00
929 +1.783963463e+02 +1.783963463e+02 +3.105763463e+02 +3.105763463e+02 -2.7116e+00 +3.4897e+00 +8.0697e-01 -1.0186e+00 -1.6055e+00 +1.0646e+00 -9.3442e-01 -3.1485e+00 -1.0057e+00 +1.2421e+00 +3.1422e-01 +3.1730e+00 -1.4991e+00 +2.7561e+00 -4.7248e+00 +2.3989e+00 +2.0251e+00 +3.5334e+00 -6.6313e-01 +2.5631e+00
981 +1.648978512e+02 +1.648978512e+02 +2.970778512e+02 +2.970778512e+02 -2.8009e+00 +3.6701e+00 +8.3946e-01 -1.1635e+00 -1.8337e+00 +1.0688e+00 -1.1009e+00 -2.6552e+00 -9.0903e-01 +1.4032e+00 +2.2640e-01 +3.0855e+00 -1.4549e+00 +2.8461e+00 -4.4284e+00 +2.4006e+00 +2.0624e+00 +3.4244e+00 -6.9367e-01 +2.4665e+00
987 +1.568318462e+02 +1.568318462e+02 +2.890118462e+02 +2.890118462e+02 -2.8247e+00 +3.5060e+00 +6.7699e-01 -1.0389e+00 -1.7328e+00 +9.5492e-01 -1.1245e+00 -2.6715e+00 -9.0343e-01 +1.4243e+00 +2.9969e-01 +3.0182e+00 -1.3832e+00 +2.8645e+00 -4.4124e+00 +2.2996e+00 +1.9745e+00 +3.5191e+00 -7.2216e-01 +2.5178e+00
1097 +1.410882428e+02 +1.410882428e+02 +2.732682428e+02 +2.732682428e+02 -2.8700e+00 +3.2528e+00 +5.7145e-01 -1.1420e+00 -1.8381e+00 +5.2362e-01 -1.5855e+00 -1.9918e+00 -3.4458e-01 +1.0172e+00 +2.6624e-01 +2.8597e+00 -1.4702e+00 +2.7434e+00 -3.9939e+00 +2.3599e+00 +2.0987e+00 +3.5098e+00 -6.9995e-01 +2.5297e+00
1116 +1.330173547e+02 +1.330173547e+02 +2.651973547e+02 +2.651973547e+02 -2.7866e+00 +3.5021e+00 +8.0704e-01 -9.6320e-01 -1.8505e+00 +5.6363e-01 -1.5757e+00 -1.8563e+00 -8.8925e-02 +1.0199e+00 +2.8251e-01 +2.7495e+00 -1.4875e+00 +2.8412e+00 -3.9864e+00 +2.3443e+00 +2.1156e+00 +3.4484e+00 -9.2062e-01 +2.5761e+00
1180 +1.214136004e+02 +1.214136004e+02 +2.535936004e+02 +2.535936004e+02 -2.7722e+00 +3.4662e+00 +7.8987e-01 -1.1314e+00 -1.6054e+00 +5.4901e-01 -1.5395e+00 -1.9576e+00 -2.5470e-01 +9.7576e-01 +3.8714e-01 +2.5982e+00 -1.4838e+00 +2.9014e+00 -3.8007e+00 +2.3630e+00 +2.1275e+00 +3.4689e+00 -5.6479e-01 +2.5855e+00
1197 +1.143546886e+02 +1.143546886e+02 +2.465346886e+02 +2.465346886e+02 -2.7551e+00 +3.5327e+00 +7.1598e-01 -1.0321e+00 -1.6638e+00 +4.7054e-01 -1.5560e+00 -1.9099e+00 -2.3648e-01 +8.1480e-01 +3.1289e-01 +2.6089e+00 -1.5100e+00 +2.8625e+00 -3.9764e+00 +2.3337e+00 +2.0380e+00 +3.4822e+00 -5.9400e-01 +2.5865e+00
1203 +1.058894995e+02 +1.058894995e+02 +2.380694995e+02 +2.380694995e+02 -2.7268e+00 +3.4182e+00 +7.0692e-01 -1.0620e+00 -1.6933e+00 +5.6305e-01 -1.5914e+00 -1.8295e+00 -3.0226e-01 +9.1688e-01 +3.2725e-01 +2.6258e+00 -1.5463e+00 +2.8852e+00 -4.0505e+00 +2.3488e+00 +2.1319e+00 +3.4951e+00 -5.4934e-01 +2.5821e+00
1225 +1.015326826e+02 +1.015326826e+02 +2.337126826e+02 +2.337126826e+02 -2.7825e+00 +3.4526e+00 +6.9389e-01 -1.0026e+00 -1.6912e+00 +5.1333e-01 -1.5682e+00 -1.8235e+00 -1.9396e-01 +9.9257e-01 +3.1642e-01 +2.5227e+00 -1.6063e+00 +2.8943e+00 -4.0146e+00 +2.3168e+00 +2.0832e+00 +3.4818e+00 -5.5269e-01 +2.6290e+00
1275 +9.878153905e+01 +9.878153905e+01 +2.309615390e+02 +2.309615390e+02 -2.8070e+00 +3.3362e+00 +7.2356e-01 -1.0562e+00 -1.6848e+00 +5.6050e-01 -1.7030e+00 -1.8295e+00 -2.4782e-01 +1.0177e+00 +2.6161e-01 +2.4808e+00 -1.4918e+00 +2.8146e+00 -4.0694e+00 +2.3405e+00 +2.1144e+00 +3.3698e+00 -5.8918e-01 +2.6258e+00
1290 +9.243986307e+01 +9.243986307e+01 +2.246198631e+02 +2.246198631e+02 -2.8280e+00 +3.4555e+00 +7.3822e-01 -1.0699e+00 -1.6139e+00 +4.7639e-01 -1.5932e+00 -1.8372e+00 -1.8061e-01 +1.0556e+00 +2.4034e-01 +2.5885e+00 -1.5383e+00 +2.7991e+00 -4.0202e+00 +2.3764e+00 +2.1292e+00 +3.4271e+00 -6.0680e-01 +2.6210e+00
1307 +8.737246357e+01 +8.737246357e+01 +2.195524636e+02 +2.195524636e+02 -2.8141e+00 +3.3897e+00 +7.7019e-01 -1.0998e+00 -1.6564e+00 +4.5000e-01 -1.5902e+00 -1.9101e+00 -2.0730e-01 +1.0372e+00 +2.2393e-01 +2.5335e+00 -1.4790e+00 +2.8294e+00 -3.9778e+00 +2.4072e+00 +2.1053e+00 +3.4282e+00 -6.0125e-01 +2.5567e+00
1322 +8.482807456e+01 +8.482807456e+01 +2.170080746e+02 +2.170080746e+02 -2.8207e+00 +3.4419e+00 +7.7016e-01 -1.1486e+00 -1.6893e+00 +4.5464e-01 -1.6480e+00 -1.8122e+00 -2.6764e-01 +1.0355e+00 +2.2061e-01 +2.5516e+00 -1.4615e+00 +2.8003e+00 -3.9800e+00 +2.3688e+00 +2.1163e+00 +3.4415e+00 -6.7146e-01 +2.5665e+00
