% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
146 +3.919569485e+02 +3.919569485e+02 -7.013305154e+01 -7.013305154e+01 -1.5000e+00 +1.7233e-01 -2.8269e-01 -6.8340e-02 -2.0434e-01 +1.6362e+00 +5.7092e-01 +6.4940e-01 +6.5507e-01 +7.3675e-01 -7.2603e-01 -2.2080e+00 +6.6915e-01 -2.7484e-01 +4.6530e-01 -2.2296e+00 +4.9571e-01 +1.2236e-01 -1.7990e+00 +1.4805e+00
184 +3.887869517e+02 +3.887869517e+02 -7.330304834e+01 -7.330304834e+01 -6.0974e-01 +3.5257e-01 +6.3558e-01 +1.0211e-01 +8.1664e-02 +1.0832e+00 +8.2492e-01 +6.8625e-01 +1.4710e+00 +5.9595e-01 -4.0228e-03 -2.1002e+00 +8.3155e-01 -5.2202e-01 +7.5364e-01 -2.2991e+00 +1.7120e-01 +7.8768e-01 -1.8014e+00 +1.9496e+00
190 +3.411147786e+02 +3.411147786e+02 -1.209752214e+02 -1.209752214e+02 -4.8699e-01 +2.8354e-01 +8.1880e-01 +2.1893e-01 -7.7359e-02 +1.5175e+00 +7.0162e-01 +6.7790e-01 +1.2640e+00 +8.6011e-01 -5.1865e-01 -2.0925e+00 +5.9646e-01 -9.4488e-01 +7.3425e-01 -3.1315e+00 -1.3976e-02 +2.6887e-01 -1.8083e+00 +2.1581e+00
200 +3.373694372e+02 +3.373694372e+02 -1.247205628e+02 -1.247205628e+02 -3.7235e-01 +3.9348e-01 +5.3840e-01 +1.9965e-01 -4.0113e-01 +1.0623e+00 +1.2658e+00 +7.1713e-01 +1.0706e+00 +3.2410e-01 -2.4830e-01 -2.4856e+00 +2.3086e-01 -7.7523e-01 +2.8584e-01 -2.8414e+00 -3.0774e-01 +5.0314e-01 -1.8466e+00 +2.0688e+00
203 +3.261490437e+02 +3.261490437e+02 -1.359409563e+02 -1.359409563e+02 -6.4289e-01 +3.1071e-01 +6.7152e-01 +4.8382e-01 -6.3150e-01 +1.5511e+00 +7.4799e-01 +7.2019e-01 +1.2974e+00 +4.6619e-01 -6.3368e-01 -2.4586e+00 -1.3407e-01 -1.1571e+00 +1.9720e-01 -3.0257e+00 -3.8264e-01 +3.3663e-01 -1.6373e+00 +1.5762e+00
215 +3.133101368e+02 +3.133101368e+02 -1.487798632e+02 -1.487798632e+02 -5.9753e-01 +2.1887e-01 +4.8806e-01 +6.2136e-01 -3.2776e-01 +7.8363e-01 +3.9851e-01 +2.8578e-01 +9.9780e-01 -6.2579e-03 -7.3901e-02 -2.4358e+00 +2.7583e-01 -1.4161e+00 -2.6762e-01 -3.1314e+00 -5.6986e-01 +1.1799e+00 -1.6318e+00 +1.9050e+00
231 +3.066658981e+02 +3.066658981e+02 -1.554241019e+02 -1.554241019e+02 -4.3853e-01 +4.4554e-01 +4.1700e-01 +3.4584e-01 -4.6694e-01 +9.2655e-01 +6.6828e-01 +7.3978e-01 +3.6197e-01 +1.7734e-01 -5.1922e-01 -3.3569e+00 -1.2657e-01 -1.8689e+00 +6.9455e-02 -4.3400e+00 +1.9417e-01 +2.0381e+00 -1.8521e+00 +1.6321e+00
236 +2.751775979e+02 +2.751775979e+02 -1.869124021e+02 -1.869124021e+02 -2.6037e-01 +1.3186e-01 +6.5037e-01 +8.2307e-01 -3.5561e-01 +5.9022e-01 +5.6432e-01 +5.0390e-01 -3.9524e-01 +1.8501e-01 -1.1097e+00 -3.7156e+00 -7.0289e-01 -1.6810e+00 -2.7689e-01 -3.9863e+00 +1.7536e-01 +1.8331e+00 -1.9145e+00 +9.5995e-01
244 +2.350432757e+02 +2.350432757e+02 -2.270467243e+02 -2.270467243e+02 -2.7401e-01 +4.4086e-01 +7.2620e-01 +1.3180e+00 -1.1847e+00 +6.3324e-01 +6.2038e-01 -9.8494e-02 +1.8269e-01 +4.9277e-02 -9.8321e-01 -2.7065e+00 -2.3607e-01 -1.7913e+00 +2.6495e-01 -3.9173e+00 +1.2192e-01 +1.8301e+00 -2.2046e+00 +8.5234e-01
329 +2.285583327e+02 +2.285583327e+02 -2.335316673e+02 -2.335316673e+02 +4.6964e-01 -6.4970e-01 +2.0717e+00 +6.9754e-01 -6.9723e-01 +1.9470e+00 +6.8958e-01 -7.3103e-02 +1.1837e+00 +4.6155e-01 -9.6503e-01 -3.5512e+00 -5.4820e-01 -2.1006e+00 -2.2601e-02 -3.9375e+00 +9.2189e-02 +2.9922e+00 -3.5346e+00 +2.1097e+00
