% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
232 +1.061329400e+03 +1.061329400e+03 +1.138989400e+03 +1.138989400e+03
255 +1.004559649e+03 +1.004559649e+03 +1.082219649e+03 +1.082219649e+03
277 +9.556497864e+02 +9.556497864e+02 +1.033309786e+03 +1.033309786e+03
286 +9.261618919e+02 +9.261618919e+02 +1.003821892e+03 +1.003821892e+03
353 +9.096020762e+02 +9.096020762e+02 +9.872620762e+02 +9.872620762e+02
364 +8.752585740e+02 +8.752585740e+02 +9.529185740e+02 +9.529185740e+02
370 +8.589890831e+02 +8.589890831e+02 +9.366490831e+02 +9.366490831e+02
373 +8.482825050e+02 +8.482825050e+02 +9.259425050e+02 +9.259425050e+02
387 +8.299661002e+02 +8.299661002e+02 +9.076261002e+02 +9.076261002e+02
397 +8.008163926e+02 +8.008163926e+02 +8.784763926e+02 +8.784763926e+02
407 +7.941527870e+02 +7.941527870e+02 +8.718127870e+02 +8.718127870e+02
427 +7.344005624e+02 +7.344005624e+02 +8.120605624e+02 +8.120605624e+02
533 +7.054681133e+02 +7.054681133e+02 +7.831281133e+02 +7.831281133e+02
547 +6.514854140e+02 +6.514854140e+02 +7.291454140e+02 +7.291454140e+02
554 +6.138220649e+02 +6.138220649e+02 +6.914820649e+02 +6.914820649e+02
706 +5.928545058e+02 +5.928545058e+02 +6.705145058e+02 +6.705145058e+02
727 +5.486334524e+02 +5.486334524e+02 +6.262934524e+02 +6.262934524e+02
881 +5.236129318e+02 +5.236129318e+02 +6.012729318e+02 +6.012729318e+02
1286 +5.051229083e+02 +5.051229083e+02 +5.827829083e+02 +5.827829083e+02
1364 +4.969100549e+02 +4.969100549e+02 +5.745700549e+02 +5.745700549e+02
1488 +4.834757035e+02 +4.834757035e+02 +5.611357035e+02 +5.611357035e+02
1586 +4.771915610e+02 +4.771915610e+02 +5.548515610e+02 +5.548515610e+02
1672 +4.619969137e+02 +4.619969137e+02 +5.396569137e+02 +5.396569137e+02
1807 +4.368641809e+02 +4.368641809e+02 +5.145241809e+02 +5.145241809e+02
2160 +4.363120736e+02 +4.363120736e+02 +5.139720736e+02 +5.139720736e+02
2175 +4.137484248e+02 +4.137484248e+02 +4.914084248e+02 +4.914084248e+02
2194 +4.062984854e+02 +4.062984854e+02 +4.839584854e+02 +4.839584854e+02
2198 +3.975722507e+02 +3.975722507e+02 +4.752322507e+02 +4.752322507e+02
2291 +3.858677801e+02 +3.858677801e+02 +4.635277801e+02 +4.635277801e+02
2307 +3.689905286e+02 +3.689905286e+02 +4.466505286e+02 +4.466505286e+02
2349 +3.615658006e+02 +3.615658006e+02 +4.392258006e+02 +4.392258006e+02
2388 +3.506465525e+02 +3.506465525e+02 +4.283065525e+02 +4.283065525e+02
2397 +3.441465240e+02 +3.441465240e+02 +4.218065240e+02 +4.218065240e+02
2417 +3.363656147e+02 +3.363656147e+02 +4.140256147e+02 +4.140256147e+02
2426 +3.277842027e+02 +3.277842027e+02 +4.054442027e+02 +4.054442027e+02
2544 +3.225497424e+02 +3.225497424e+02 +4.002097424e+02 +4.002097424e+02
2617 +3.161662469e+02 +3.161662469e+02 +3.938262469e+02 +3.938262469e+02
2797 +3.081245656e+02 +3.081245656e+02 +3.857845656e+02 +3.857845656e+02
2954 +3.018307866e+02 +3.018307866e+02 +3.794907866e+02 +3.794907866e+02
3380 +2.950889362e+02 +2.950889362e+02 +3.727489362e+02 +3.727489362e+02
3846 +2.883822731e+02 +2.883822731e+02 +3.660422731e+02 +3.660422731e+02
% function evaluation | noise-free fitness - Fopt (1.156800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.909104352e+03 +1.909104352e+03 +2.024784352e+03 +2.024784352e+03
2 +1.831793303e+03 +1.831793303e+03 +1.947473303e+03 +1.947473303e+03
10 +1.813887331e+03 +1.813887331e+03 +1.929567331e+03 +1.929567331e+03
26 +1.756755286e+03 +1.756755286e+03 +1.872435286e+03 +1.872435286e+03
27 +1.729459143e+03 +1.729459143e+03 +1.845139143e+03 +1.845139143e+03
30 +1.693208426e+03 +1.693208426e+03 +1.808888426e+03 +1.808888426e+03
46 +1.596690911e+03 +1.596690911e+03 +1.712370911e+03 +1.712370911e+03
52 +1.584223306e+03 +1.584223306e+03 +1.699903306e+03 +1.699903306e+03
57 +1.547324175e+03 +1.547324175e+03 +1.663004175e+03 +1.663004175e+03
59 +1.509321343e+03 +1.509321343e+03 +1.625001343e+03 +1.625001343e+03
60 +1.429072902e+03 +1.429072902e+03 +1.544752902e+03 +1.544752902e+03
71 +1.338848457e+03 +1.338848457e+03 +1.454528457e+03 +1.454528457e+03
98 +1.262546216e+03 +1.262546216e+03 +1.378226216e+03 +1.378226216e+03
105 +1.247407449e+03 +1.247407449e+03 +1.363087449e+03 +1.363087449e+03
110 +1.181461350e+03 +1.181461350e+03 +1.297141350e+03 +1.297141350e+03
112 +1.153108242e+03 +1.153108242e+03 +1.268788242e+03 +1.268788242e+03
118 +1.064645336e+03 +1.064645336e+03 +1.180325336e+03 +1.180325336e+03
137 +1.036317339e+03 +1.036317339e+03 +1.151997339e+03 +1.151997339e+03
142 +9.940833427e+02 +9.940833427e+02 +1.109763343e+03 +1.109763343e+03
148 +9.501777887e+02 +9.501777887e+02 +1.065857789e+03 +1.065857789e+03
211 +9.147214029e+02 +9.147214029e+02 +1.030401403e+03 +1.030401403e+03
242 +8.801890997e+02 +8.801890997e+02 +9.958690997e+02 +9.958690997e+02
252 +8.655858849e+02 +8.655858849e+02 +9.812658849e+02 +9.812658849e+02
268 +8.013059328e+02 +8.013059328e+02 +9.169859328e+02 +9.169859328e+02
283 +7.552747884e+02 +7.552747884e+02 +8.709547884e+02 +8.709547884e+02
373 +7.259713021e+02 +7.259713021e+02 +8.416513021e+02 +8.416513021e+02
403 +7.161958507e+02 +7.161958507e+02 +8.318758507e+02 +8.318758507e+02
477 +7.050423452e+02 +7.050423452e+02 +8.207223452e+02 +8.207223452e+02
511 +6.875934173e+02 +6.875934173e+02 +8.032734173e+02 +8.032734173e+02
520 +6.647754742e+02 +6.647754742e+02 +7.804554742e+02 +7.804554742e+02
614 +6.483995200e+02 +6.483995200e+02 +7.640795200e+02 +7.640795200e+02
633 +6.072690989e+02 +6.072690989e+02 +7.229490989e+02 +7.229490989e+02
863 +5.737899047e+02 +5.737899047e+02 +6.894699047e+02 +6.894699047e+02
908 +5.581604137e+02 +5.581604137e+02 +6.738404137e+02 +6.738404137e+02
965 +5.306058371e+02 +5.306058371e+02 +6.462858371e+02 +6.462858371e+02
